time,ax,ay,vx,vy,px,py,gz,yaw
1555247440.885554075,58.432862796,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247440.895951032,58.4424599871,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247440.907116889,58.452766932,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247440.917404890,58.4622635483,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247440.928209066,58.4722366338,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247440.939443111,58.4826065215,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247440.949769020,58.4921381298,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247440.961004972,58.5025097778,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247440.971338987,58.5120488686,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247440.982146024,58.5220245951,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247440.992913007,58.5319633486,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.3693103,58.5419142065,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.14544963,58.551931308,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.25340080,58.5618960314,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.36133050,58.5718587729,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.46857118,58.5817579126,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.57676076,58.5917446431,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.68418025,58.6016602883,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.79206943,58.6116192895,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.91015100,58.6225191268,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.101237058,58.6319547803,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.112274885,58.6421435437,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.122776031,58.6518369092,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.133796930,58.6620100468,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.144397020,58.6717947452,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.155211925,58.6817777345,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.165952920,58.6916924991,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.177021980,58.7019100929,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
